callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1 ,altitude_1,latitude_2,longitude_2,altitude_2
AZS4001,nan,152ad6,RA-76502,IL76,LTAC,BIKF,2022-01-31 21:35:37+00:00,2022-02-01 05:17:56+00:00,2022-02-01 00:00:00+00:00,40.15935865499205,33.02315451882102,914.4,63.98524785445908,-22.63565368652343,nan
SDM6453,nan,155c3b,nan,nan,ULLI,nan,2022-01-31 22:13:08+00:00,2022-02-01 00:14:18+00:00,2022-02-01 00:00:00+00:00,59.79331970214844,30.26229858398438,304.8,53.1551513671875,52.84290422712054,10668.0
LLM90,YC90,155c01,nan,nan,UUDD,nan,2022-01-31 22:59:23+00:00,2022-02-01 01:08:41+00:00,2022-02-01 00:00:00+00:00,55.36528015136719,37.97149658203125,1219.2,64.82089233398438,61.7438232421875,10668.0
RWZ1284,nan,155c6b,nan,nan,nan,nan,2022-01-31 23:30:57+00:00,2022-02-01 00:03:54+00:00,2022-02-01 00:00:00+00:00,57.89757680084745,66.59719848632812,9753.6,55.5013469114142,62.07489967346191,2560.32
IAE410,nan,155bca,RA-89034,SU95,UIII,nan,2022-01-31 23:38:18+00:00,2022-02-01 00:02:13+00:00,2022-02-01 00:00:00+00:00,52.26531465174788,104.4016636439732,304.8,54.33558577198093,105.9563099254261,10668.0
LLM295,nan,155bec,RA-89068,SU95,nan,nan,2022-01-31 23:49:04+00:00,2022-02-01 01:23:49+00:00,2022-02-01 00:00:00+00:00,51.02190437963453,45.6451416015625,10668.0,58.50064086914062,63.43824817288306,10668.0
RWZ1293,nan,155c38,nan,nan,nan,nan,2022-01-31 23:49:49+00:00,2022-02-01 00:35:50+00:00,2022-02-01 00:00:00+00:00,58.43019104003906,64.36614990234375,9753.6,56.78846740722656,55.51589012145996,9753.6
AZO324,nan,155c05,nan,nan,nan,nan,2022-02-01 00:12:55+00:00,2022-02-01 01:44:58+00:00,2022-02-01 00:00:00+00:00,55.36862182617188,61.01960126091452,3657.6,50.88331836765095,46.2847900390625,10972.8
LLM878,YC878,155bfe,nan,nan,ULLI,nan,2022-02-01 00:20:45+00:00,2022-02-01 02:40:57+00:00,2022-02-01 00:00:00+00:00,59.79153442382812,30.27484130859375,0.0,64.83036804199219,61.81666259765625,10668.0
4702,nan,1506b8,RA-67256,DH8D,UHBB,nan,2022-02-01 00:31:13+00:00,2022-02-01 01:06:48+00:00,2022-02-01 00:00:00+00:00,50.45829643637447,127.4026571737753,914.4,53.09335327148438,127.2988128662109,4191.0
AZO663,nan,155c3d,nan,nan,nan,nan,2022-02-01 00:34:03+00:00,2022-02-01 00:50:21+00:00,2022-02-01 00:00:00+00:00,54.86367435778602,59.51094193892045,8229.6,56.48015426377118,60.2643871307373,2270.76
SDM6376,nan,155c27,nan,nan,nan,UUEE,2022-02-01 00:38:09+00:00,2022-02-01 01:54:28+00:00,2022-02-01 00:00:00+00:00,56.83360290527344,51.4720630645752,10363.2,55.98358154296875,37.49676704406738,586.74
AZO234,nan,155c5b,nan,nan,nan,nan,2022-02-01 00:47:32+00:00,2022-02-01 02:42:41+00:00,2022-02-01 00:00:00+00:00,57.1547892942267,64.88915228074598,3048.0,50.90231168068061,46.62940979003906,10363.2
AZO254,nan,155bf7,RA-89079,SU95,USPP,nan,2022-02-01 01:03:12+00:00,2022-02-01 02:02:44+00:00,2022-02-01 00:00:00+00:00,57.90223202462924,55.99630737304688,304.8,56.05573751158633,45.1662540435791,6035.04
AZO322,A4322,155c20,nan,nan,nan,nan,2022-02-01 01:09:17+00:00,2022-02-01 01:56:29+00:00,2022-02-01 00:00:00+00:00,53.86643231925318,53.4841111127068,10363.2,50.90478515625,46.52992042335304,10370.82
AZO668,nan,155c07,nan,nan,nan,nan,2022-02-01 01:12:47+00:00,2022-02-01 03:09:29+00:00,2022-02-01 00:00:00+00:00,58.47510386321504,64.63009643554688,10363.2,50.81409519001589,46.67007446289062,10972.8
LLM173,nan,155c04,nan,nan,UUDD,nan,2022-02-01 01:14:42+00:00,2022-02-01 03:23:44+00:00,2022-02-01 00:00:00+00:00,55.37402654098252,37.9566816850142,1219.2,64.83022916114936,61.81606292724609,10668.0
SDM6582,nan,155c3c,nan,nan,USPP,ULLI,2022-02-01 01:21:03+00:00,2022-02-01 03:22:28+00:00,2022-02-01 00:00:00+00:00,57.91293903932733,56.0181884765625,0.0,59.80291334249205,30.19762762661638,266.7
AFL1245,SU1245,155bc1,RA-89025,SU95,nan,UUEE,2022-02-01 01:32:36+00:00,2022-02-01 03:03:28+00:00,2022-02-01 00:00:00+00:00,52.88804393703654,52.43907819475447,9753.6,55.98568725585938,37.49334161931818,579.12
TUL9741,nan,1506a9,RA-67241,GL6T,UWKD,UUWW,2022-02-01 01:34:17+00:00,2022-02-01 02:39:28+00:00,2022-02-01 00:00:00+00:00,55.5604248046875,49.31321577592329,1524.0,55.61869812011719,37.38222989169034,762.0
SDM6264,nan,155c19,nan,nan,nan,UUEE,2022-02-01 01:50:02+00:00,2022-02-01 03:14:54+00:00,2022-02-01 00:00:00+00:00,54.89891440181409,53.46596457741477,10972.8,55.98358154296875,37.49668121337891,579.12
AZO664,nan,155c3d,nan,nan,USSK,nan,2022-02-01 01:56:46+00:00,2022-02-01 05:06:43+00:00,2022-02-01 00:00:00+00:00,56.6553955078125,60.76220512390137,1828.8,50.83560232388771,47.59407043457031,10972.8
SDM6454,nan,155c3b,nan,nan,nan,ULLI,2022-02-01 02:14:49+00:00,2022-02-01 04:25:55+00:00,2022-02-01 00:00:00+00:00,52.77329267081568,52.8328595842634,10363.2,59.80224609375,30.20205688476562,251.46
4703,nan,1506b8,RA-67256,DH8D,nan,UHBB,2022-02-01 02:35:38+00:00,2022-02-01 03:18:59+00:00,2022-02-01 00:00:00+00:00,53.38056661314883,127.1959910673254,5486.400000000001,50.3104248046875,127.474798905222,647.7
